id,name,area,population,male_population,female_population,sc_population,st_population,assembly_constituency_id,assembly_constituency_name,parliamentary_constituency_id,parliamentary_constituency_name
149,Gali Anjaneya Temple Ward,0.6599,34112,17585,16527,4799,836,167,Vijaya Nagar,26,Bangalore South
150,Attiguppe,1.1847,37120,19150,17970,2016,354,167,Vijaya Nagar,26,Bangalore South
151,Deepanjali Nagar,1.9093,34862,18290,16572,3267,830,167,Vijaya Nagar,26,Bangalore South
152,Avalahalli,1.0033,38721,20108,18613,2797,422,167,Vijaya Nagar,26,Bangalore South
153,Padarayanapura,0.2785,33665,17354,16311,134,65,168,Chamarajpet,25,Bangalore Central
154,Rayapuram,0.31,34303,17386,16917,13039,372,168,Chamarajpet,25,Bangalore Central
155,Devaraj Urs Nagar,0.6172,36799,18847,17952,4506,333,168,Chamarajpet,25,Bangalore Central
156,Chalavadipalya,0.5945,32311,16402,15909,15383,297,168,Chamarajpet,25,Bangalore Central
157,K R Market,0.9023,32311,16607,15704,10533,365,168,Chamarajpet,25,Bangalore Central
158,Chamrajapet,1.008,33626,17186,16440,918,641,168,Chamarajpet,25,Bangalore Central
159,Azad Nagar,0.6078,34445,17561,16884,2361,1348,168,Chamarajpet,25,Bangalore Central
160,Dharmaraya Swamy Temple,1.3684,39056,20229,18827,6533,308,169,Chickpet,26,Bangalore South
161,Silver Jublee Park,1.3618,33453,17067,16386,7781,275,169,Chickpet,26,Bangalore South
162,Sunkenahalli,2.293,42697,21705,20992,1491,436,169,Chickpet,26,Bangalore South
163,Vishveshwara Puram,2.9537,39543,19779,19764,2422,910,169,Chickpet,26,Bangalore South
164,Hombegowda Nagar,1.2081,42905,21796,21109,6947,747,169,Chickpet,26,Bangalore South
165,B Venkata Reddy Nagar,1.452,36673,18741,17932,5692,685,169,Chickpet,26,Bangalore South
166,Shanthi Nagar,1.3615,33300,16917,16383,5524,475,163,Shanti Nagar,25,Bangalore Central
167,Ashok Nagar,4.768,32658,16340,16318,6433,414,163,Shanti Nagar,25,Bangalore Central
168,Nilasandra,0.4268,39112,21365,17747,2811,375,163,Shanti Nagar,25,Bangalore Central
169,Vannarpet,1.2721,32865,19347,13518,6037,1280,163,Shanti Nagar,25,Bangalore Central
170,Jogupalya,1.8597,41298,20518,20780,10352,548,163,Shanti Nagar,25,Bangalore Central
171,Domlur,2.0248,39954,20254,19700,7289,949,163,Shanti Nagar,25,Bangalore Central
172,Agaram,9.902,32844,16767,16077,11981,507,163,Shanti Nagar,25,Bangalore Central
173,Ejipura,1.0611,40397,21344,19053,7672,850,172,B.T.M. Layout,26,Bangalore South
174,Koramangala,2.949,36254,18539,17715,4848,692,172,B.T.M. Layout,26,Bangalore South
175,Jakkasandra,2.0558,41738,22368,19370,5569,1387,172,B.T.M. Layout,26,Bangalore South
176,Adugodi,2.631,34751,17589,17162,6765,912,172,B.T.M. Layout,26,Bangalore South
177,Lakkasandra,1.2934,30667,15786,14881,5425,510,172,B.T.M. Layout,26,Bangalore South
178,Suddagunte Palya,1.6495,37333,20375,16958,3276,415,172,B.T.M. Layout,26,Bangalore South
179,Madivala,0.6433,32659,18072,14587,2208,575,172,B.T.M. Layout,26,Bangalore South
180,Someswara Temple Ward,1.7121,32375,16685,15690,2305,361,172,B.T.M. Layout,26,Bangalore South
181,Btm Layout,1.0037,32504,17875,14629,2707,501,172,B.T.M. Layout,26,Bangalore South
182,Byrasandra,1.1025,39796,20237,19559,5212,975,173,Jayanagar,26,Bangalore South
183,Gurappanapalya,0.8967,40817,20858,19959,2727,284,173,Jayanagar,26,Bangalore South
184,Jayanagar East,0.8021,33353,17257,16096,3789,386,173,Jayanagar,26,Bangalore South
185,J P Nagar,1.7584,33556,16848,16708,3662,336,173,Jayanagar,26,Bangalore South
186,Shakambari Nagar,2.9522,40716,20526,20190,1465,497,173,Jayanagar,26,Bangalore South
187,Sarakki,1.7822,41590,21441,20149,3099,598,173,Jayanagar,26,Bangalore South
188,Yediyur,1.9065,35798,17928,17870,1675,653,171,Padmanaba Nagar,26,Bangalore South
189,Ganesh Mandir Ward,1.6919,41923,20905,21018,1420,408,171,Padmanaba Nagar,26,Bangalore South
190,Devagiri Temple Ward,1.1406,34546,17524,17022,2337,589,171,Padmanaba Nagar,26,Bangalore South
191,Banashankari Temple Ward,0.7033,33264,16942,16322,2352,1198,171,Padmanaba Nagar,26,Bangalore South
192,Kumaraswamy Layout,1.5443,39477,20445,19032,1983,548,171,Padmanaba Nagar,26,Bangalore South
193,Padmanabha Nagar,1.4791,39418,20208,19210,2063,249,171,Padmanaba Nagar,26,Bangalore South
194,Chikkalsandra,0.9433,40297,20936,19361,693,364,171,Padmanaba Nagar,26,Bangalore South
195,Hosakerehalli,1.2267,41630,22419,19211,1801,513,171,Padmanaba Nagar,26,Bangalore South
196,Gavi Gangadhareshwara,0.8833,36487,18664,17823,1541,525,170,Basavanagudi,26,Bangalore South
197,Srinagar,0.5586,36078,18691,17387,918,992,170,Basavanagudi,26,Bangalore South
198,Dodda Ganapati,1.6198,42285,21320,20965,477,336,170,Basavanagudi,26,Bangalore South
199,Vidyapeeta Ward,0.8692,42631,21792,20839,2401,803,170,Basavanagudi,26,Bangalore South
200,Swamy Vivekananda,1.3383,42797,21641,21156,530,449,170,Basavanagudi,26,Bangalore South
201,Katriguppe,1.7978,42973,21935,21038,1415,615,170,Basavanagudi,26,Bangalore South
202,Uttarahalli,1.8223,39370,20354,19016,1794,716,176,Bangalore South,23,Bangalore Rural
203,Subrahmanyapura,9.1886,37014,19356,17658,3575,674,176,Bangalore South,23,Bangalore Rural
204,Vasanthpura,3.3542,35615,18734,16881,5301,849,176,Bangalore South,23,Bangalore Rural
205,Yelchenahalli,1.1598,42186,22019,20167,2692,380,176,Bangalore South,23,Bangalore Rural
206,Konanakunte,3.2117,41028,21453,19575,2488,362,176,Bangalore South,23,Bangalore Rural
207,Rbi Layout,3.4813,42074,21352,20722,1679,475,176,Bangalore South,23,Bangalore Rural
208,Anjanapura,11.045,40478,20785,19693,4380,504,176,Bangalore South,23,Bangalore Rural
209,Gottigere,6.2909,41688,21670,20018,5486,645,176,Bangalore South,23,Bangalore Rural
210,Kalena Agrahara,10.6203,38932,20336,18596,4687,669,176,Bangalore South,23,Bangalore Rural
211,Begur,6.7379,35004,18388,16616,2571,568,176,Bangalore South,23,Bangalore Rural
212,Naganathapura,5.262,34452,20622,13830,4155,919,176,Bangalore South,23,Bangalore Rural
213,Jaraganahalli,1.2801,37963,19788,18175,1567,870,175,Bommanahalli,26,Bangalore South
214,Puttenahalli,1.7164,42149,21940,20209,1829,494,175,Bommanahalli,26,Bangalore South
215,Bilekhalli,3.3846,42179,22189,19990,2621,331,175,Bommanahalli,26,Bangalore South
216,Hulimavu,5.6339,42690,22446,20244,4664,904,175,Bommanahalli,26,Bangalore South
217,Kodichikkanahalli,3.463,37559,19809,17750,2827,473,175,Bommanahalli,26,Bangalore South
218,Bommanahalli,1.3081,35206,18401,16805,3387,413,175,Bommanahalli,26,Bangalore South
219,Hongasandra,0.9292,38184,20587,17597,2291,895,175,Bommanahalli,26,Bangalore South
220,Gharebhavipalya,1.8005,40896,22121,18775,2738,919,175,Bommanahalli,26,Bangalore South
221,Hsr Layout,4.221,38763,20138,18625,3327,642,175,Bommanahalli,26,Bangalore South
222,Ibluru,3.7151,33851,17764,16087,2827,486,175,Bommanahalli,26,Bangalore South
223,Mangammanapalya,1.6594,40149,21038,19111,3292,651,175,Bommanahalli,26,Bangalore South
224,Hosa Road,3.2714,33979,18432,15547,3942,744,175,Bommanahalli,26,Bangalore South
225,Kudlu,3.3325,16757,9054,7703,2910,428,177,Anekal (Sc),23,Bangalore Rural
